idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
5793,do,0.05,0.0,44,2.53857461810112,-5.094163360017719,-5.38589698738522
5794,pp,0.05,0.0,14,1.8416860508918766,-4.9681255369475394,-4.173466342025333
5795,do,0.05,0.0,66,1.9168663871288292,-6.014629080801299,-6.90914491282569
5796,pp,0.05,0.0,16,2.643337656259537,-5.571086900884455,-4.727754207452138
5797,do,0.05,0.0,9,1.1118984639644616,-4.345942612850305,-4.00091565185123
5798,pp,0.05,0.0,70,2.540498249530793,-5.982178118734649,-5.802724554803636
5799,do,0.05,0.0,7,1.7050512313842772,-5.101893708200166,-4.768958115577698
5800,pp,0.05,0.0,30,3.337620518207551,-7.142579379226222,-6.200600629382663
5801,do,0.05,0.0,66,2.4490706503391273,-7.040837579784971,-8.485621129141913
5802,pp,0.05,0.0,70,1.8916128909587862,-6.729125242522269,-6.0119897762934364
5803,do,0.05,0.0,9,1.5489519071578988,-5.313717239553278,-4.457471068700155
5804,pp,0.05,0.0,21,3.280547360181809,-5.180255410165498,-4.712266268995073
5805,do,0.05,0.0,70,2.6866710317134848,-5.725745089848837,-5.548537400033739
5806,pp,0.05,0.0,13,1.22461281657219,-4.868719160195553,-4.501906033356985
5807,do,0.05,0.0,12,1.2254966795444489,-4.6547025405999385,-4.265633079740736
5808,pp,0.05,0.0,64,1.1594450640678406,-8.956009885036584,-8.783164016405742
5809,do,0.05,0.0,46,3.144538021087647,-6.501008711439191,-5.690016804801093
5810,pp,0.05,0.0,18,2.182742156982422,-5.265985163775357,-4.851253379715813
5811,do,0.05,0.0,55,3.5976803171634684,-6.338863216746937,-5.464827431572808
5812,pp,0.05,0.0,70,3.5377020037174223,-5.247298110615123,-5.358030827840169
5813,do,0.05,0.0,38,2.3126749908924102,-7.171666529684356,-6.5074169079462685
5814,pp,0.05,0.0,8,0.9769513309001923,-4.822832843029138,-4.315000086360508
5815,do,0.05,0.0,43,2.928789292573928,-9.200764398863821,-9.346201970842149
5816,pp,0.05,0.0,41,2.275448516607284,-8.377290760387075,-9.461813931994968
5817,do,0.05,0.0,37,2.2587731420993817,-5.8916536822463526,-4.890019104215834
5818,pp,0.05,0.0,15,3.2329809927940367,-4.80244466752717,-4.18996236456765
5819,do,0.05,0.0,36,1.8675977301597593,-6.613780209512422,-5.316739985677931
5820,pp,0.05,0.0,32,2.538337652683259,-4.935614347457886,-4.560029792785644
5821,do,0.05,0.0,67,0.984380990266799,-6.598740914373687,-7.284903314378527
5822,pp,0.05,0.0,15,1.3992579877376556,-4.834421748825998,-4.243174559540218
5823,do,0.05,0.0,19,0.8686720824241636,-6.2154881087216465,-6.679964484108819
5824,pp,0.05,0.0,24,1.7613077735900884,-4.468177902337277,-3.812902479701572
5825,do,0.05,0.0,12,1.191555616855621,-5.017438421827374,-4.672108160124885
5826,pp,0.05,0.0,15,2.0635214579105376,-4.776658140529285,-4.089338492022621
5827,do,0.05,0.0,70,1.8187841379642498,-6.965529725045869,-5.78608775138855
5828,pp,0.05,0.0,20,2.258073420524596,-5.722837628740253,-4.679858402411143
5829,do,0.05,0.0,12,0.9640841424465183,-6.535093859470252,-6.267705088191562
5830,pp,0.05,0.0,26,3.079725837707519,-5.676988983154297,-4.668351515134176
5831,do,0.05,0.0,9,1.2851074993610379,-4.487140730655555,-4.000648665428161
5832,pp,0.05,0.0,28,1.9193411195278172,-5.256098055117058,-4.580080983373854
5833,do,0.05,0.0,23,1.583971929550171,-5.676897726636945,-5.165710091590881
5834,pp,0.05,0.0,53,3.1753520059585583,-7.0030239018526945,-5.910762635866801
5835,do,0.05,0.0,12,0.6155669200420384,-5.193273329012322,-4.46510882112715
5836,pp,0.05,0.0,67,3.167146269083024,-6.080336851062197,-6.585563241110908
5837,do,0.05,0.0,51,-0.09758607149124288,-7.660829723242557,-7.126544433169895
5838,pp,0.05,0.0,10,0.7374006748199466,-4.380442510951649,-3.982543783717685
5839,do,0.05,0.0,12,1.0335370767116538,-4.549323627443025,-3.9754949940575495
5840,pp,0.05,0.0,70,3.0252028977870937,-6.578454121676359,-5.893993642595079
5841,do,0.05,0.0,44,1.240656064748764,-9.570021853302464,-10.12951307296753
5842,pp,0.05,0.0,47,1.8923048853874196,-5.393604161522605,-5.104762824376424
5843,do,0.05,0.0,45,1.8210146379470835,-9.283305078564268,-8.918370453516642
5844,pp,0.05,0.0,70,2.730354734659194,-7.190817551179365,-6.554561620288425
5845,do,0.05,0.0,36,0.7750864851474759,-6.5957765044588035,-6.150817741288079
5846,pp,0.05,0.0,46,0.8903017759323113,-6.415202036770907,-6.080085105366177
5847,do,0.05,0.0,47,1.389619845151902,-6.850273937167543,-6.363340502315097
5848,pp,0.05,0.0,49,1.7918469047546397,-5.939319750756928,-5.5697239398956295
5849,do,0.05,0.0,13,1.2659535396099093,-5.014673286495786,-4.888798456721836
5850,pp,0.05,0.0,67,1.6641411912441262,-6.9408084349198775,-6.589596054289076
5851,do,0.05,0.0,64,2.27521665930748,-6.003043385707971,-5.185329932636685
5852,pp,0.05,0.0,70,2.5005736565589904,-7.295962404482292,-6.410587011443244
5853,do,0.05,0.0,47,1.567710156440734,-5.585260618094242,-6.707131804360284
5854,pp,0.05,0.0,70,2.1783156371116643,-5.396555107290094,-4.809849119186401
5855,do,0.05,0.0,42,1.9438086986541743,-6.42615932117809,-5.879432325892978
5856,pp,0.05,0.0,24,2.5284594893455505,-4.527679247567148,-4.16833403772778
5857,do,0.05,0.0,70,0.7925215351581576,-7.682879492730805,-6.757428783840603
5858,pp,0.05,0.0,70,0.2563073325157159,-7.438242374766957,-6.84087090757158
5859,do,0.05,0.0,70,1.2028352093696606,-7.909247933012066,-6.950159109963311
5860,pp,0.05,0.0,16,0.6423558676242829,-5.039202729138461,-4.270583923657735
5861,do,0.05,0.0,18,0.7915078032016751,-7.210805252826575,-6.328029333220588
5862,pp,0.05,0.0,10,0.7832149732112885,-4.427372707020153,-3.8669246461656357
5863,do,0.05,0.0,13,1.276411225795746,-4.9428294658660885,-4.415887705485026
5864,pp,0.05,0.0,15,1.0199210441112516,-5.540956754395456,-4.599321942859226
5865,do,0.05,0.0,70,0.48345285654067904,-8.300627878940467,-7.414829863442315
5866,pp,0.05,0.0,33,1.6831656944751732,-6.733060776103627,-5.740677150090535
5867,do,0.05,0.0,8,0.4164897704124444,-4.976736429965857,-4.182152586513095
5868,pp,0.05,0.0,36,2.149924064874649,-6.183177861300382,-5.173810023731655
5869,do,0.05,0.0,70,2.49158105492592,-7.566058375618675,-6.635986728138394
