lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,16,4,1,pp,0.1,0.8171978076299027,9,-0.4589669636317662,0.13428571428571429,-7.507604280199323,-7.048637316567557,-1.6498941360201154,0.05714285714285714,-8.65790458202362,-7.008010446003505,-1.0320381706101553,0.02857142857142857,-5.527034187316895,-4.4949960167067395
raw,17,4,2,do,0.1,1.957543144226074,30,-0.45994130407060896,0.13428571428571429,-7.50849901676178,-7.048557712691171,-1.1300279041699002,0.15,-9.203162402766091,-8.073134498596191,-0.7218682983943394,0.12714285714285714,-6.3914314327921184,-5.669563134397779
raw,17,4,2,pp,0.1,2.105189584096273,20,-0.45882068497794015,0.1357142857142857,-7.505909754208156,-7.047089069230216,-1.2716603364263261,0.04,-8.704221660750253,-7.432561324323927,-1.0237935028757368,0.06857142857142857,-5.736191779204777,-4.712398276329041
raw,18,4,3,do,0.1,0.6838944339752189,19,-0.45868589196886334,0.13714285714285715,-7.506105665479388,-7.047419773510525,-0.2801989783559527,0.45714285714285713,-8.465836143153055,-8.185637164797102,-0.9284231046267918,0.20142857142857143,-8.12591080563409,-7.197487701007298
raw,18,4,3,pp,0.1,2.67798440615336,24,-0.45971317223140173,0.1357142857142857,-7.506528135027204,-7.0468149627958026,-1.5547115186282567,0.02857142857142857,-8.947928309440613,-7.393216790812356,-1.237274021761758,0.03142857142857143,-6.518907242161887,-5.281633220400129
raw,19,4,4,do,0.005,-0.4705783176422118,20,-0.45886113916124616,0.1357142857142857,-7.506055191584996,-7.04719405242375,-0.3346415039471218,0.22428571428571428,-6.022086170060294,-5.687444666113172,-0.2081860034806388,0.3028571428571429,-5.837557446275438,-5.6293714427948
raw,19,4,4,pp,0.1,1.5314511601130167,35,-0.45933306080954417,0.13428571428571429,-7.508267404692513,-7.048934343882969,-1.4875301715305873,0.02142857142857143,-8.535925726549966,-7.048395555019379,-1.3791946475846426,0.005714285714285714,-7.562270203999111,-6.183075556414468
raw,20,4,5,pp,0.1,1.5037416680653886,70,-0.4600392770767212,0.1357142857142857,-7.506478087561471,-7.04643881048475,-0.7570797072138105,0.12428571428571429,-6.174170708656311,-5.4170910014425,-0.7570797072138105,0.12428571428571429,-6.174170708656311,-5.4170910014425
raw,20,4,5,do,0.1,1.0703606510162347,26,-0.4597296864645822,0.1357142857142857,-7.50598324571337,-7.046253559248788,-0.6605291070256915,0.19285714285714287,-9.11607942887715,-8.455550321851458,-0.4665422705241612,0.26285714285714284,-6.34908486025674,-5.882542589732579
raw,21,5,1,pp,0.1,2.9823162730534873,54,-0.4586534207207816,0.1357142857142857,-7.508792410578047,-7.050138989857265,-1.0427747430120196,0.17714285714285713,-6.178623192650932,-5.135848449638912,-1.30886860370636,0.13428571428571429,-6.301969374247959,-4.9931007705415995
raw,21,5,1,do,0.1,2.6924352804819733,20,-0.4593213156291417,0.1357142857142857,-7.508747147151402,-7.04942583152226,-0.864546286719186,0.21,-7.3638873944963725,-6.4993411077771865,-0.6203052738734655,0.16,-4.949248958315168,-4.328943684441703
raw,22,5,2,pp,0.1,3.8899992434183757,37,-0.458526063646589,0.1357142857142857,-7.503584049088614,-7.045057985442026,-1.0698230981826782,0.06285714285714286,-7.208953016144889,-6.139129917962211,-0.9869248614992414,0.047142857142857146,-5.470573414734432,-4.483648553235191
